Bot: basic_strategy_bot
Stake: white
Deck: RED
Profile: P1
Unlocks: all
Seeds: 398
First seed: 290344638
Bot: basic_strategy_bot
Stake: white
Deck: RED
Profile: P1
Unlocks: all
Seeds: 398
Seed label: white:basic-strategy-2026-04-30-1000-resume-fixed:explicit
First seed: 290344638
Endpoints: http://127.0.0.1:12347, http://127.0.0.1:12348, http://127.0.0.1:12349, http://127.0.0.1:12350, http://127.0.0.1:12351, http://127.0.0.1:12352
Replay mode: summary
Start retries: 1
Failed seed retries: 2
[76/398] seed=1994589246 won=False ante=1 score=312 money=0 runtime=74.79s
[77/398] seed=850893472 won=True ante=8 score=124612 money=103 runtime=2932.39s
[78/398] seed=1428703104 won=True ante=8 score=35327 money=81 runtime=1879.18s
[79/398] seed=1280702797 won=False ante=2 score=2940 money=22 runtime=124.84s
[80/398] seed=1893849466 won=True ante=8 score=101942 money=73 runtime=4046.25s
[81/398] seed=2055366476 won=False ante=3 score=3477 money=5 runtime=279.48s
[82/398] seed=1730779243 won=False ante=5 score=17894 money=45 runtime=957.57s
[83/398] seed=921938977 won=False ante=5 score=22116 money=38 runtime=1619.58s
[84/398] seed=1079945432 won=False ante=5 score=12830 money=6 runtime=1674.23s
[85/398] seed=1799726814 won=False ante=5 score=17844 money=62 runtime=348.46s
[86/398] seed=208326185 won=False ante=3 score=991 money=64 runtime=368.85s
[87/398] seed=1098955402 won=False ante=6 score=25956 money=56 runtime=1137.65s
[88/398] seed=482145877 won=False ante=6 score=39934 money=0 runtime=622.36s
[89/398] seed=486427274 won=False ante=5 score=13411 money=58 runtime=551.89s
[90/398] seed=1847589535 won=False ante=5 score=20272 money=69 runtime=1076.38s
[91/398] seed=1389073323 won=False ante=6 score=30594 money=52 runtime=618.57s
[92/398] seed=1951966381 won=True ante=8 score=72056 money=9 runtime=678.77s
[93/398] seed=1222147 won=True ante=8 score=64297 money=146 runtime=1004.52s
[94/398] seed=1356247944 won=False ante=0 score=0 money=0 runtime=92.69s death=error:BalatroBridgeError: Balatro bridge error: {'data': {'name': 'NOT_ALLOWED'}, 'code': -32003, 'message': 'Not enough dollars to reroll. 
[95/398] seed=1309664413 won=False ante=6 score=29138 money=63 runtime=530.31s
[96/398] seed=1808312846 won=False ante=5 score=10106 money=67 runtime=1681.69s
[97/398] seed=185641893 won=False ante=2 score=327 money=4 runtime=178.26s
[98/398] seed=1495210399 won=False ante=2 score=431 money=11 runtime=127.26s
[99/398] seed=1809634124 won=False ante=5 score=15535 money=18 runtime=1786.60s
[100/398] seed=682429074 won=False ante=3 score=1850 money=44 runtime=62.96s
[101/398] seed=185950081 won=False ante=5 score=16144 money=58 runtime=599.18s
[102/398] seed=757894271 won=False ante=6 score=38830 money=114 runtime=1458.81s
[103/398] seed=1632212719 won=False ante=4 score=1313 money=29 runtime=618.87s
[104/398] seed=924862257 won=False ante=2 score=315 money=20 runtime=209.02s
[105/398] seed=428262935 won=False ante=5 score=7960 money=5 runtime=468.33s
[106/398] seed=1765510198 won=False ante=5 score=8448 money=13 runtime=273.70s
[107/398] seed=1088488083 won=False ante=7 score=34780 money=83 runtime=627.25s
[108/398] seed=1817813542 won=True ante=8 score=133012 money=239 runtime=387.19s
[109/398] seed=204492919 won=False ante=2 score=1224 money=20 runtime=84.37s
[110/398] seed=1577521758 won=False ante=7 score=19790 money=0 runtime=1733.61s
[111/398] seed=1145850620 won=False ante=3 score=1808 money=37 runtime=159.03s
[112/398] seed=1965688520 won=False ante=4 score=8318 money=16 runtime=1155.80s
[113/398] seed=548943848 won=False ante=4 score=7090 money=2 runtime=325.27s
[114/398] seed=1091020901 won=False ante=4 score=8912 money=31 runtime=990.54s
[115/398] seed=926416998 won=False ante=5 score=21355 money=40 runtime=3655.41s
[116/398] seed=1053479195 won=False ante=4 score=4750 money=63 runtime=461.69s
[117/398] seed=41688435 won=False ante=5 score=16044 money=37 runtime=1174.60s
[118/398] seed=1464195711 won=False ante=7 score=66958 money=32 runtime=2414.83s
[119/398] seed=1586424056 won=False ante=4 score=8202 money=41 runtime=678.19s
[120/398] seed=1196632107 won=False ante=2 score=1064 money=14 runtime=407.82s
[121/398] seed=188741295 won=False ante=5 score=20964 money=30 runtime=1113.45s
[122/398] seed=648629713 won=False ante=3 score=1764 money=0 runtime=689.41s
[123/398] seed=1700044165 won=False ante=6 score=12635 money=69 runtime=1341.79s
[124/398] seed=1230944128 won=False ante=3 score=2002 money=3 runtime=246.98s
[125/398] seed=230046326 won=False ante=4 score=8023 money=25 runtime=430.20s
[126/398] seed=177255551 won=False ante=5 score=8888 money=4 runtime=2562.77s
[127/398] seed=2134100123 won=False ante=6 score=38897 money=120 runtime=544.81s
[128/398] seed=962053753 won=False ante=5 score=8322 money=74 runtime=106.28s
[129/398] seed=587530905 won=False ante=5 score=19439 money=33 runtime=978.91s
[130/398] seed=1798429342 won=False ante=5 score=20374 money=40 runtime=1733.56s
[131/398] seed=197126036 won=False ante=4 score=6966 money=22 runtime=1203.28s
[132/398] seed=283044861 won=False ante=6 score=38017 money=82 runtime=1312.79s
[133/398] seed=589004727 won=False ante=5 score=9984 money=46 runtime=164.39s
[134/398] seed=191211330 won=False ante=6 score=30138 money=75 runtime=288.11s
[135/398] seed=1236887152 won=False ante=2 score=767 money=9 runtime=213.84s
[136/398] seed=308820611 won=False ante=6 score=18791 money=65 runtime=1521.10s
