Bot: basic_strategy_bot
Stake: white
Deck: RED
Profile: P1
Unlocks: all
Seeds: 1000
First seed: 2132984486
Bot: basic_strategy_bot
Stake: white
Deck: RED
Profile: P1
Unlocks: all
Seeds: 1000
Seed label: white:basic-strategy-2026-04-30-1000
First seed: 2132984486
Endpoints: http://127.0.0.1:12347, http://127.0.0.1:12348, http://127.0.0.1:12349, http://127.0.0.1:12350, http://127.0.0.1:12351, http://127.0.0.1:12352
Replay mode: summary
Start retries: 1
Failed seed retries: 2
[71/1000] seed=999412105 won=False ante=7 score=52079 money=63 runtime=416.61s
[72/1000] seed=969889374 won=False ante=5 score=19286 money=0 runtime=403.11s
[73/1000] seed=936519821 won=False ante=1 score=564 money=4 runtime=86.92s
[74/1000] seed=1005460120 won=False ante=5 score=15233 money=33 runtime=967.83s
[75/1000] seed=227364886 won=False ante=1 score=580 money=4 runtime=86.12s
[76/1000] seed=554804505 won=False ante=2 score=804 money=23 runtime=172.28s
[77/1000] seed=86839873 won=False ante=6 score=30254 money=38 runtime=829.85s
[78/1000] seed=338180081 won=False ante=6 score=16689 money=54 runtime=369.07s
[79/1000] seed=1839256564 won=False ante=6 score=28962 money=128 runtime=121.07s
[80/1000] seed=1103105457 won=False ante=5 score=30900 money=92 runtime=714.97s
[81/1000] seed=435230847 won=False ante=5 score=3448 money=13 runtime=1115.10s
[82/1000] seed=1145253668 won=False ante=7 score=36702 money=60 runtime=454.75s
[83/1000] seed=445927780 won=False ante=1 score=424 money=1 runtime=80.31s
[84/1000] seed=1575306955 won=False ante=4 score=12897 money=27 runtime=614.49s
[85/1000] seed=937727337 won=False ante=4 score=9543 money=35 runtime=1463.57s
[86/1000] seed=1665990098 won=False ante=3 score=3972 money=9 runtime=143.22s
[87/1000] seed=1658432593 won=False ante=7 score=18554 money=62 runtime=1322.45s
[88/1000] seed=758082197 won=False ante=5 score=18782 money=44 runtime=1380.41s
[89/1000] seed=1819100287 won=False ante=4 score=7267 money=16 runtime=750.36s
[90/1000] seed=1454589852 won=False ante=6 score=15853 money=29 runtime=563.07s
[91/1000] seed=2004463509 won=False ante=4 score=2284 money=66 runtime=139.84s
[92/1000] seed=862436853 won=False ante=7 score=44682 money=43 runtime=1369.90s
[93/1000] seed=848902430 won=False ante=3 score=2184 money=3 runtime=286.64s
[94/1000] seed=1113003052 won=False ante=3 score=1620 money=15 runtime=538.72s
[95/1000] seed=1697055794 won=False ante=5 score=8856 money=80 runtime=495.63s
[96/1000] seed=1355900180 won=False ante=5 score=14567 money=41 runtime=924.63s
[97/1000] seed=593751490 won=False ante=3 score=2544 money=7 runtime=183.15s
[98/1000] seed=34722517 won=False ante=0 score=0 money=0 runtime=190.06s death=error:BalatroBridgeError: Balatro bridge error: {'data': {'name': 'BAD_REQUEST'}, 'code': -32001, 'message': 'Cannot purchase joker card, jo
[99/1000] seed=1337404170 won=False ante=5 score=12732 money=12 runtime=590.50s
[100/1000] seed=1955360042 won=False ante=3 score=2278 money=46 runtime=450.44s
[101/1000] seed=497851794 won=False ante=6 score=33373 money=74 runtime=414.25s
[102/1000] seed=93680211 won=True ante=8 score=98448 money=99 runtime=929.19s
[103/1000] seed=1603614887 won=False ante=6 score=47034 money=63 runtime=1478.42s
[104/1000] seed=320059119 won=False ante=6 score=35640 money=81 runtime=284.55s
[105/1000] seed=853145856 won=False ante=5 score=6767 money=42 runtime=1927.90s
[106/1000] seed=1898807493 won=False ante=5 score=9094 money=13 runtime=332.12s
[107/1000] seed=1847632515 won=False ante=3 score=1946 money=3 runtime=230.22s
[108/1000] seed=1283404590 won=False ante=6 score=23955 money=39 runtime=813.55s
[109/1000] seed=745875321 won=True ante=8 score=43568 money=141 runtime=1470.50s
[110/1000] seed=1010395512 won=False ante=4 score=2484 money=-2 runtime=302.64s
[111/1000] seed=2039822081 won=False ante=5 score=28886 money=62 runtime=1190.78s
[112/1000] seed=1493208845 won=False ante=4 score=4022 money=67 runtime=772.32s
[113/1000] seed=784309313 won=False ante=5 score=14937 money=76 runtime=782.10s
[114/1000] seed=1791983604 won=False ante=6 score=64222 money=69 runtime=290.04s
[115/1000] seed=1499523703 won=False ante=4 score=12396 money=21 runtime=220.83s
[116/1000] seed=2031653433 won=False ante=3 score=3490 money=24 runtime=757.00s
[117/1000] seed=1265528758 won=False ante=2 score=1131 money=15 runtime=123.85s
[118/1000] seed=1900588732 won=False ante=4 score=3770 money=26 runtime=132.39s
[119/1000] seed=2037838209 won=False ante=3 score=1362 money=26 runtime=450.35s
[120/1000] seed=1329680516 won=False ante=4 score=6413 money=2 runtime=693.87s
[121/1000] seed=41580030 won=False ante=4 score=4920 money=35 runtime=330.46s
[122/1000] seed=1669507811 won=False ante=5 score=15502 money=46 runtime=185.86s
[123/1000] seed=319203084 won=False ante=4 score=7577 money=78 runtime=176.96s
[124/1000] seed=1600706820 won=False ante=6 score=31188 money=28 runtime=1041.92s
[125/1000] seed=922933749 won=False ante=6 score=26304 money=66 runtime=216.72s
[126/1000] seed=417908658 won=False ante=1 score=438 money=4 runtime=78.38s
[127/1000] seed=606126815 won=False ante=4 score=17435 money=50 runtime=507.78s
[128/1000] seed=563908765 won=False ante=3 score=1500 money=11 runtime=474.72s
[129/1000] seed=2078566267 won=True ante=8 score=72702 money=36 runtime=793.27s
[130/1000] seed=2132906939 won=False ante=5 score=13592 money=61 runtime=1368.35s
[131/1000] seed=169230869 won=False ante=2 score=751 money=0 runtime=156.75s
[132/1000] seed=176970671 won=True ante=8 score=92920 money=109 runtime=2504.95s
[133/1000] seed=847910560 won=True ante=8 score=100352 money=66 runtime=1826.32s
[134/1000] seed=1234834800 won=False ante=5 score=13437 money=55 runtime=1191.37s
[135/1000] seed=537091696 won=False ante=6 score=19670 money=69 runtime=1202.72s
[136/1000] seed=30549315 won=False ante=7 score=47852 money=122 runtime=2947.55s
[137/1000] seed=40883669 won=False ante=4 score=6851 money=17 runtime=783.14s
[138/1000] seed=1735118738 won=False ante=2 score=464 money=6 runtime=147.90s
[139/1000] seed=465819625 won=False ante=4 score=4081 money=20 runtime=699.61s
[140/1000] seed=2038434394 won=False ante=3 score=1781 money=1 runtime=483.37s
[141/1000] seed=1451166994 won=False ante=3 score=1058 money=2 runtime=159.74s
[142/1000] seed=1819586782 won=False ante=6 score=20103 money=128 runtime=272.67s
[143/1000] seed=904222046 won=False ante=5 score=6080 money=68 runtime=155.91s
[144/1000] seed=250385210 won=False ante=6 score=23544 money=84 runtime=4317.86s
[145/1000] seed=1113126566 won=False ante=7 score=48088 money=62 runtime=1903.68s
[146/1000] seed=638424613 won=False ante=4 score=8921 money=6 runtime=360.53s
[147/1000] seed=496170469 won=False ante=2 score=1312 money=32 runtime=198.45s
[148/1000] seed=2013790492 won=False ante=7 score=54800 money=55 runtime=7971.19s
[149/1000] seed=934855776 won=False ante=5 score=10670 money=46 runtime=224.56s
[150/1000] seed=1657189963 won=False ante=1 score=272 money=4 runtime=32.32s
[151/1000] seed=1815819296 won=False ante=4 score=7895 money=36 runtime=696.81s
[152/1000] seed=2004325956 won=False ante=4 score=3816 money=25 runtime=898.97s
[153/1000] seed=2128450903 won=False ante=6 score=22414 money=126 runtime=886.92s
[154/1000] seed=1334306833 won=False ante=1 score=444 money=2 runtime=49.06s
[155/1000] seed=1036744755 won=False ante=4 score=6336 money=27 runtime=904.04s
[156/1000] seed=181594977 won=False ante=6 score=37939 money=46 runtime=1546.49s
[157/1000] seed=155197761 won=False ante=5 score=14437 money=40 runtime=416.67s
[158/1000] seed=1332260222 won=False ante=1 score=372 money=2 runtime=126.73s
[159/1000] seed=433107180 won=False ante=5 score=12427 money=61 runtime=1495.37s
[160/1000] seed=1782280661 won=False ante=6 score=21903 money=48 runtime=237.61s
[161/1000] seed=1052038598 won=False ante=2 score=572 money=31 runtime=44.07s
[162/1000] seed=2003135846 won=False ante=5 score=20733 money=35 runtime=873.02s
[163/1000] seed=1043091076 won=False ante=8 score=27919 money=34 runtime=2049.48s
[164/1000] seed=225302914 won=False ante=3 score=1176 money=0 runtime=401.87s
[165/1000] seed=822466481 won=False ante=7 score=43075 money=83 runtime=1301.04s
[166/1000] seed=349040050 won=False ante=6 score=28165 money=108 runtime=256.15s
[167/1000] seed=1945949024 won=False ante=5 score=9124 money=20 runtime=1285.53s
[168/1000] seed=925942421 won=False ante=3 score=1620 money=8 runtime=758.38s
[169/1000] seed=1300205254 won=False ante=8 score=48282 money=46 runtime=2099.09s
[170/1000] seed=1325660117 won=False ante=6 score=33062 money=43 runtime=1470.37s
[171/1000] seed=1421419275 won=False ante=7 score=27361 money=90 runtime=1151.34s
[172/1000] seed=1606780537 won=False ante=6 score=32529 money=57 runtime=1256.18s
[173/1000] seed=1450426793 won=False ante=6 score=26106 money=73 runtime=448.38s
[174/1000] seed=422382623 won=False ante=4 score=3520 money=67 runtime=594.89s
[175/1000] seed=703723382 won=False ante=1 score=436 money=3 runtime=51.58s
[176/1000] seed=571474736 won=False ante=5 score=10383 money=39 runtime=819.48s
[177/1000] seed=831979757 won=False ante=1 score=588 money=1 runtime=96.92s
[178/1000] seed=773421322 won=False ante=4 score=5658 money=0 runtime=242.88s
[179/1000] seed=329675395 won=False ante=1 score=502 money=8 runtime=55.47s
[180/1000] seed=115214322 won=False ante=6 score=20110 money=64 runtime=577.79s
[181/1000] seed=1985050397 won=False ante=3 score=1650 money=23 runtime=129.30s
